Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ELGIEQUIP.NS,ELGIEQUIP.NS,ELGIEQUIP.NS,ELGIEQUIP.NS,ELGIEQUIP.NS,ELGIEQUIP.NS
Date,,,,,,
2002-07-23 00:00:00+00:00,3.8213002681732178,5.199999809265137,5.375,4.787499904632568,5.050000190734863,110144
2002-07-24 00:00:00+00:00,3.812114715576172,5.1875,5.324999809265137,5.074999809265137,5.099999904632568,83856
2002-07-25 00:00:00+00:00,3.8764169216156006,5.275000095367432,5.375,5.125,5.275000095367432,82932
2002-07-26 00:00:00+00:00,3.711071252822876,5.050000190734863,5.150000095367432,4.9375,5.150000095367432,273112
2002-07-29 00:00:00+00:00,3.812114715576172,5.1875,5.224999904632568,4.800000190734863,5.137499809265137,239552
2002-07-30 00:00:00+00:00,3.68351411819458,5.012499809265137,5.349999904632568,4.949999809265137,5.199999809265137,282800
2002-07-31 00:00:00+00:00,3.8580446243286133,5.25,5.449999809265137,4.875,4.887499809265137,72000
2002-08-01 00:00:00+00:00,3.7569994926452637,5.112500190734863,5.25,4.875,5.150000095367432,444644
2002-08-02 00:00:00+00:00,3.646770477294922,4.962500095367432,5.025000095367432,4.875,5.012499809265137,19180
2002-08-05 00:00:00+00:00,3.674327850341797,5.0,5.175000190734863,4.875,4.875,54172
2002-08-06 00:00:00+00:00,3.6651413440704346,4.987500190734863,5.125,4.949999809265137,5.112500190734863,85332
2002-08-07 00:00:00+00:00,3.7202565670013428,5.0625,5.125,5.0,5.0,14244
2002-08-08 00:00:00+00:00,3.6192123889923096,4.925000190734863,5.237500190734863,4.925000190734863,5.175000190734863,25504
2002-08-09 00:00:00+00:00,3.6192123889923096,4.925000190734863,5.087500095367432,4.887499809265137,5.074999809265137,10600
2002-08-12 00:00:00+00:00,3.600841522216797,4.900000095367432,5.074999809265137,4.875,5.074999809265137,8220
2002-08-13 00:00:00+00:00,3.7478156089782715,5.099999904632568,5.125,4.875,4.875,16808
2002-08-14 00:00:00+00:00,3.4814255237579346,4.737500190734863,5.025000095367432,4.712500095367432,5.025000095367432,27600
2002-08-15 00:00:00+00:00,3.4814255237579346,4.737500190734863,4.737500190734863,4.737500190734863,4.737500190734863,0
2002-08-16 00:00:00+00:00,3.4722392559051514,4.724999904632568,4.887499809265137,4.712500095367432,4.8125,32000
2002-08-19 00:00:00+00:00,3.5181686878204346,4.787499904632568,4.849999904632568,4.699999809265137,4.837500095367432,32616
2002-08-20 00:00:00+00:00,3.4722392559051514,4.724999904632568,4.824999809265137,4.699999809265137,4.75,16804
2002-08-21 00:00:00+00:00,3.5640976428985596,4.849999904632568,4.925000190734863,4.699999809265137,4.75,12136
2002-08-22 00:00:00+00:00,3.5824694633483887,4.875,4.925000190734863,4.824999809265137,4.824999809265137,22200
2002-08-23 00:00:00+00:00,3.674327850341797,5.0,5.087500095367432,4.887499809265137,5.0,50896
2002-08-26 00:00:00+00:00,3.6375842094421387,4.949999809265137,5.0,4.900000095367432,4.9375,116596
2002-08-27 00:00:00+00:00,3.5824694633483887,4.875,5.025000095367432,4.837500095367432,4.912499904632568,183612
2002-08-28 00:00:00+00:00,3.4354970455169678,4.675000190734863,4.949999809265137,4.650000095367432,4.9375,104060
2002-08-29 00:00:00+00:00,3.3528242111206055,4.5625,4.737500190734863,4.512499809265137,4.737500190734863,39916
2002-08-30 00:00:00+00:00,3.279337167739868,4.462500095367432,4.625,4.387499809265137,4.625,22588
2002-09-02 00:00:00+00:00,3.3252670764923096,4.525000095367432,4.699999809265137,4.5,4.662499904632568,56444
2002-09-03 00:00:00+00:00,3.224221706390381,4.387499809265137,4.574999809265137,4.0625,4.550000190734863,46540
2002-09-04 00:00:00+00:00,3.224221706390381,4.387499809265137,4.5,4.125,4.487500190734863,73292
2002-09-05 00:00:00+00:00,3.2701518535614014,4.449999809265137,4.5,4.425000190734863,4.487500190734863,55312
2002-09-06 00:00:00+00:00,3.233408212661743,4.400000095367432,4.487500190734863,4.375,4.425000190734863,22760
2002-09-09 00:00:00+00:00,3.2609663009643555,4.4375,4.4375,4.375,4.412499904632568,12424
2002-09-10 00:00:00+00:00,3.2609663009643555,4.4375,4.4375,4.4375,4.4375,0
2002-09-11 00:00:00+00:00,3.2517807483673096,4.425000190734863,4.487500190734863,4.400000095367432,4.487500190734863,8344
2002-09-12 00:00:00+00:00,3.306894540786743,4.5,4.5,4.425000190734863,4.487500190734863,6800
2002-09-13 00:00:00+00:00,3.2885234355926514,4.474999904632568,4.75,4.462500095367432,4.75,99564
2002-09-16 00:00:00+00:00,3.233408212661743,4.400000095367432,4.550000190734863,4.375,4.425000190734863,16724
2002-09-17 00:00:00+00:00,3.242594003677368,4.412499904632568,4.462500095367432,4.375,4.375,4416
2002-09-18 00:00:00+00:00,3.279337167739868,4.462500095367432,4.487500190734863,4.375,4.487500190734863,6080
2002-09-19 00:00:00+00:00,3.1323649883270264,4.262499809265137,4.462500095367432,4.25,4.462500095367432,32492
2002-09-20 00:00:00+00:00,3.2150368690490723,4.375,4.5,4.25,4.5,10812
2002-09-23 00:00:00+00:00,3.224221706390381,4.387499809265137,4.462500095367432,4.275000095367432,4.287499904632568,5520
2002-09-24 00:00:00+00:00,3.068063974380493,4.175000190734863,4.337500095367432,4.162499904632568,4.337500095367432,42800
2002-09-25 00:00:00+00:00,3.049691915512085,4.150000095367432,4.25,4.137499809265137,4.25,5452
2002-09-26 00:00:00+00:00,3.104806661605835,4.224999904632568,4.275000095367432,4.1875,4.1875,4500
2002-09-27 00:00:00+00:00,3.1691079139709473,4.3125,4.3125,4.224999904632568,4.25,12000
2002-09-30 00:00:00+00:00,3.1139934062957764,4.237500190734863,4.287499904632568,4.224999904632568,4.275000095367432,18400
2002-10-01 00:00:00+00:00,3.068063974380493,4.175000190734863,4.25,4.175000190734863,4.25,27780
2002-10-02 00:00:00+00:00,3.068063974380493,4.175000190734863,4.175000190734863,4.175000190734863,4.175000190734863,0
2002-10-03 00:00:00+00:00,2.8567898273468018,3.887500047683716,4.25,3.875,4.162499904632568,77852
2002-10-04 00:00:00+00:00,2.91190505027771,3.9625000953674316,4.462500095367432,3.9625000953674316,4.462500095367432,45180
2002-10-07 00:00:00+00:00,3.012948513031006,4.099999904632568,4.375,4.0,4.375,18392
2002-10-08 00:00:00+00:00,2.96701979637146,4.037499904632568,4.199999809265137,4.0,4.125,33660
2002-10-09 00:00:00+00:00,3.022135019302368,4.112500190734863,4.1875,4.050000190734863,4.050000190734863,17804
2002-10-10 00:00:00+00:00,3.012948513031006,4.099999904632568,4.224999904632568,4.025000095367432,4.125,10200
2002-10-11 00:00:00+00:00,3.012948513031006,4.099999904632568,4.224999904632568,4.037499904632568,4.224999904632568,6812
2002-10-14 00:00:00+00:00,3.04050612449646,4.137499809265137,4.224999904632568,4.125,4.224999904632568,10760
2002-10-15 00:00:00+00:00,3.04050612449646,4.137499809265137,4.137499809265137,4.137499809265137,4.137499809265137,0
2002-10-16 00:00:00+00:00,2.957834482192993,4.025000095367432,4.25,4.0,4.175000190734863,37048
2002-10-17 00:00:00+00:00,3.031320571899414,4.125,4.150000095367432,4.0,4.0,6428
2002-10-18 00:00:00+00:00,2.939462184906006,4.0,4.0625,4.0,4.0625,11200
2002-10-21 00:00:00+00:00,2.985391616821289,4.0625,4.087500095367432,4.0,4.025000095367432,15000
2002-10-22 00:00:00+00:00,2.89353346824646,3.9375,4.050000190734863,3.9375,4.0,14520
2002-10-23 00:00:00+00:00,2.91190505027771,3.9625000953674316,4.037499904632568,3.950000047683716,4.0,20800
2002-10-24 00:00:00+00:00,2.939462184906006,4.0,4.0625,3.987499952316284,4.025000095367432,16600
2002-10-25 00:00:00+00:00,2.985391616821289,4.0625,4.25,4.0,4.099999904632568,53320
2002-10-28 00:00:00+00:00,2.976205587387085,4.050000190734863,4.112500190734863,4.0,4.0,7600
2002-10-29 00:00:00+00:00,2.93027663230896,3.987499952316284,4.0625,3.625,4.025000095367432,46284
2002-10-30 00:00:00+00:00,3.022135019302368,4.112500190734863,4.1875,4.0,4.0,66460
2002-10-31 00:00:00+00:00,2.939462184906006,4.0,4.199999809265137,4.0,4.162499904632568,54860
2002-11-01 00:00:00+00:00,2.93027663230896,3.987499952316284,4.237500190734863,3.9625000953674316,4.237500190734863,118208
2002-11-04 00:00:00+00:00,2.9945766925811768,4.074999809265137,4.162499904632568,4.025000095367432,4.025000095367432,35000
2002-11-05 00:00:00+00:00,3.003763437271118,4.087500095367432,4.212500095367432,4.012499809265137,4.112500190734863,119232
2002-11-06 00:00:00+00:00,3.003763437271118,4.087500095367432,4.087500095367432,4.087500095367432,4.087500095367432,0
2002-11-07 00:00:00+00:00,3.031320571899414,4.125,4.175000190734863,4.087500095367432,4.087500095367432,58800
2002-11-08 00:00:00+00:00,3.04050612449646,4.137499809265137,4.199999809265137,4.099999904632568,4.125,39100
2002-11-11 00:00:00+00:00,3.049691915512085,4.150000095367432,4.25,4.137499809265137,4.237500190734863,30800
2002-11-12 00:00:00+00:00,3.095621109008789,4.212500095367432,4.224999904632568,4.175000190734863,4.175000190734863,15000
2002-11-13 00:00:00+00:00,3.077249526977539,4.1875,4.275000095367432,4.1875,4.212500095367432,9600
2002-11-14 00:00:00+00:00,3.104806661605835,4.224999904632568,4.237500190734863,4.212500095367432,4.224999904632568,5800
2002-11-15 00:00:00+00:00,3.1415505409240723,4.275000095367432,4.287499904632568,4.237500190734863,4.25,26220
2002-11-18 00:00:00+00:00,3.2517807483673096,4.425000190734863,4.587500095367432,4.337500095367432,4.349999904632568,38520
2002-11-19 00:00:00+00:00,3.2517807483673096,4.425000190734863,4.425000190734863,4.425000190734863,4.425000190734863,0
2002-11-20 00:00:00+00:00,3.362009286880493,4.574999809265137,4.75,4.5,4.75,50360
2002-11-21 00:00:00+00:00,3.3895678520202637,4.612500190734863,4.650000095367432,4.462500095367432,4.5,49620
2002-11-22 00:00:00+00:00,3.3895676136016846,4.487500190734863,4.574999809265137,4.449999809265137,4.5,20884
2002-11-25 00:00:00+00:00,3.3895676136016846,4.487500190734863,4.487500190734863,3.674999952316284,4.387499809265137,24884
2002-11-26 00:00:00+00:00,3.3518006801605225,4.4375,4.5,4.425000190734863,4.449999809265137,32100
2002-11-27 00:00:00+00:00,3.332916736602783,4.412499904632568,4.487500190734863,4.324999809265137,4.324999809265137,6200
2002-11-28 00:00:00+00:00,3.2857091426849365,4.349999904632568,4.400000095367432,4.349999904632568,4.400000095367432,10400
2002-11-29 00:00:00+00:00,3.3990085124969482,4.5,4.974999904632568,4.287499904632568,4.287499904632568,75644
2002-12-02 00:00:00+00:00,3.502868175506592,4.637499809265137,4.75,4.4375,4.5,86800
2002-12-03 00:00:00+00:00,3.4462172985076904,4.5625,4.737500190734863,4.5,4.625,27660
2002-12-04 00:00:00+00:00,3.3612425327301025,4.449999809265137,4.5,4.4375,4.449999809265137,16680
2002-12-05 00:00:00+00:00,3.314033031463623,4.387499809265137,4.5625,4.375,4.5625,16800
2002-12-06 00:00:00+00:00,3.332916736602783,4.412499904632568,4.5,4.387499809265137,4.449999809265137,13840
2002-12-09 00:00:00+00:00,3.3423593044281006,4.425000190734863,4.5,4.400000095367432,4.5,39700
2002-12-10 00:00:00+00:00,3.3706836700439453,4.462500095367432,4.712500095367432,4.337500095367432,4.712500095367432,23700
2002-12-11 00:00:00+00:00,3.3423593044281006,4.425000190734863,4.525000095367432,4.387499809265137,4.474999904632568,16200
2002-12-12 00:00:00+00:00,3.3423593044281006,4.425000190734863,4.474999904632568,4.349999904632568,4.349999904632568,35024
2002-12-13 00:00:00+00:00,3.2668251991271973,4.324999809265137,4.487500190734863,4.3125,4.4375,38520
2002-12-16 00:00:00+00:00,3.3612425327301025,4.449999809265137,4.487500190734863,4.287499904632568,4.300000190734863,44040
