Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SIS.NS,SIS.NS,SIS.NS,SIS.NS,SIS.NS,SIS.NS
Date,,,,,,
2017-08-10 00:00:00+00:00,371.79266357421875,378.5249938964844,439.8999938964844,374.3999938964844,439.8999938964844,16051956
2017-08-11 00:00:00+00:00,378.078857421875,384.92498779296875,396.9750061035156,352.54998779296875,372.5,2027848
2017-08-14 00:00:00+00:00,394.28533935546875,401.42498779296875,407.0,390.0,399.5,985564
2017-08-16 00:00:00+00:00,399.0491027832031,406.2749938964844,408.0,395.0,396.25,571640
2017-08-17 00:00:00+00:00,400.2768249511719,407.5249938964844,414.5,406.0,406.95001220703125,455462
2017-08-18 00:00:00+00:00,388.7112731933594,395.75,406.4750061035156,390.125,406.4750061035156,164842
2017-08-21 00:00:00+00:00,380.5343017578125,387.42498779296875,397.0249938964844,382.54998779296875,394.0249938964844,116730
2017-08-22 00:00:00+00:00,375.6232604980469,382.42498779296875,395.9750061035156,380.0,387.0,133312
2017-08-23 00:00:00+00:00,381.7620849609375,388.67498779296875,392.5,382.5,382.5,128842
2017-08-24 00:00:00+00:00,376.8019104003906,383.625,391.0,381.54998779296875,387.95001220703125,69618
2017-08-28 00:00:00+00:00,379.6503601074219,386.5249938964844,390.0,384.0249938964844,384.95001220703125,55888
2017-08-29 00:00:00+00:00,371.08050537109375,377.79998779296875,389.5,376.29998779296875,385.75,49640
2017-08-30 00:00:00+00:00,382.4250793457031,389.3500061035156,392.0,381.0249938964844,382.3999938964844,57822
2017-08-31 00:00:00+00:00,380.87811279296875,387.7749938964844,393.95001220703125,385.5249938964844,389.3500061035156,49452
2017-09-01 00:00:00+00:00,383.21087646484375,390.1499938964844,392.5,385.625,385.625,103914
2017-09-04 00:00:00+00:00,383.3091125488281,390.25,395.0,387.04998779296875,387.5,93696
2017-09-05 00:00:00+00:00,378.88916015625,385.75,393.42498779296875,384.0,392.3999938964844,69522
2017-09-06 00:00:00+00:00,381.14825439453125,388.04998779296875,392.0,385.5,385.8999938964844,187360
2017-09-07 00:00:00+00:00,381.51654052734375,388.42498779296875,390.9750061035156,386.29998779296875,388.04998779296875,53314
2017-09-08 00:00:00+00:00,387.0660705566406,394.07501220703125,397.7250061035156,387.0,387.5,182312
2017-09-11 00:00:00+00:00,392.73834228515625,399.8500061035156,408.8500061035156,391.0,391.0,196246
2017-09-12 00:00:00+00:00,384.708740234375,391.67498779296875,402.5249938964844,390.04998779296875,397.5,38168
